dependencia_id;pedido_id;depende_de_pedido_id;intervalo_min_dias;critica;origem;regra_id
D00058;P00096;P00095;7;1;MEDICO;
D00059;P00096;P00094;2;1;MEDICO;
D00060;P00098;P00097;1;1;REGRA;R1
D00061;P00099;P00098;7;1;MEDICO;
D00062;P00099;P00097;2;1;MEDICO;
D00063;P00101;P00100;2;1;MEDICO;
D00064;P00103;P00102;2;1;MEDICO;
D00065;P00105;P00104;1;1;REGRA;R1
D00066;P00106;P00105;7;1;MEDICO;
D00067;P00106;P00104;2;1;MEDICO;
D00068;P00108;P00107;2;1;MEDICO;
D00069;P00110;P00109;1;1;REGRA;R1
D00070;P00111;P00110;7;1;MEDICO;
D00071;P00111;P00109;2;1;MEDICO;
D00072;P00114;P00113;1;1;REGRA;R1
D00073;P00115;P00114;7;1;MEDICO;
D00074;P00115;P00113;2;1;MEDICO;
D00075;P00117;P00116;1;1;REGRA;R1
D00076;P00118;P00117;7;1;MEDICO;
D00077;P00118;P00116;2;1;MEDICO;
D00078;P00120;P00119;1;1;REGRA;R1
D00079;P00121;P00120;7;1;MEDICO;
D00080;P00121;P00119;2;1;MEDICO;
D00081;P00124;P00123;2;1;MEDICO;
D00082;P00127;P00126;2;1;MEDICO;
D00083;P00129;P00128;2;1;MEDICO;
D00084;P00131;P00130;1;1;REGRA;R1
D00085;P00132;P00131;7;1;MEDICO;
D00086;P00132;P00130;2;1;MEDICO;
D00087;P00135;P00134;1;1;REGRA;R1
D00088;P00136;P00135;7;1;MEDICO;
D00089;P00136;P00134;2;1;MEDICO;
D00090;P00138;P00137;2;1;MEDICO;
D00091;P00141;P00140;1;1;REGRA;R1
D00092;P00142;P00141;7;1;MEDICO;
D00093;P00142;P00140;2;1;MEDICO;
D00094;P00144;P00143;1;1;REGRA;R1
D00095;P00145;P00144;7;1;MEDICO;
D00096;P00145;P00143;2;1;MEDICO;
D00097;P00147;P00146;2;1;MEDICO;
D00098;P00149;P00148;3;1;MEDICO;
D00099;P00152;P00151;1;1;REGRA;R1
D00100;P00153;P00152;7;1;MEDICO;
D00101;P00153;P00151;2;1;MEDICO;
D00102;P00155;P00154;2;1;MEDICO;
D00103;P00157;P00156;2;1;MEDICO;
D00104;P00159;P00158;1;1;REGRA;R1
D00105;P00160;P00159;7;1;MEDICO;
D00106;P00160;P00158;2;1;MEDICO;
D00107;P00162;P00161;1;1;REGRA;R1
D00108;P00163;P00162;7;1;MEDICO;
D00109;P00163;P00161;2;1;MEDICO;
D00110;P00165;P00164;2;1;MEDICO;
D00111;P00167;P00166;1;1;REGRA;R1
D00112;P00168;P00167;7;1;MEDICO;
D00113;P00168;P00166;2;1;MEDICO;
D00114;P00170;P00169;1;1;REGRA;R1
D00115;P00171;P00170;7;1;MEDICO;
D00116;P00171;P00169;2;1;MEDICO;
D00117;P00173;P00172;3;1;MEDICO;
D00118;P00175;P00174;2;1;MEDICO;
D00119;P00177;P00176;1;1;REGRA;R1
D00120;P00178;P00177;7;1;MEDICO;
D00121;P00178;P00176;2;1;MEDICO;
D00122;P00183;P00182;2;1;MEDICO;
D00123;P00185;P00184;1;1;REGRA;R1
D00124;P00186;P00185;7;1;MEDICO;
D00125;P00186;P00184;2;1;MEDICO;
D00126;P00189;P00188;1;1;REGRA;R1
D00127;P00190;P00189;7;1;MEDICO;
D00128;P00190;P00188;2;1;MEDICO;
D00129;P00192;P00191;2;1;MEDICO;
D00130;P00194;P00193;1;1;REGRA;R1
D00131;P00195;P00194;7;1;MEDICO;
D00132;P00195;P00193;2;1;MEDICO;
D00133;P00198;P00197;1;1;REGRA;R1
D00134;P00199;P00198;7;1;MEDICO;
D00135;P00199;P00197;2;1;MEDICO;
D00136;P00203;P00202;3;1;MEDICO;
D00137;P00205;P00204;2;1;MEDICO;
D00138;P00209;P00208;1;1;REGRA;R1
D00139;P00210;P00209;7;1;MEDICO;
D00140;P00210;P00208;2;1;MEDICO;
D00141;P00213;P00212;1;1;REGRA;R1
D00142;P00214;P00213;7;1;MEDICO;
D00143;P00214;P00212;2;1;MEDICO;
D00144;P00217;P00216;2;1;MEDICO;
D00145;P00220;P00219;2;1;MEDICO;
D00146;P00224;P00223;1;1;REGRA;R1
D00147;P00225;P00224;7;1;MEDICO;
D00148;P00225;P00223;2;1;MEDICO;
D00149;P00228;P00227;2;1;MEDICO;
D00150;P00230;P00229;2;1;MEDICO;
D00151;P00232;P00231;1;1;REGRA;R1
D00152;P00233;P00232;7;1;MEDICO;
D00153;P00233;P00231;2;1;MEDICO;
D00154;P00235;P00234;1;1;REGRA;R1
D00155;P00236;P00235;7;1;MEDICO;
D00156;P00236;P00234;2;1;MEDICO;
D00157;P00238;P00237;3;1;MEDICO;
D00158;P00240;P00239;1;1;REGRA;R1
D00159;P00241;P00240;7;1;MEDICO;
D00160;P00241;P00239;2;1;MEDICO;
D00161;P00242;P00243;1;1;REGRA;R2
D00162;P00245;P00244;2;1;MEDICO;
D00163;P00247;P00246;1;1;REGRA;R1
D00164;P00248;P00247;7;1;MEDICO;
D00165;P00248;P00246;2;1;MEDICO;
D00166;P00250;P00249;2;1;MEDICO;
D00167;P00252;P00251;1;1;REGRA;R1
D00168;P00253;P00252;7;1;MEDICO;
D00169;P00253;P00251;2;1;MEDICO;
D00170;P00255;P00254;2;1;MEDICO;
D00171;P00257;P00256;1;1;REGRA;R1
D00172;P00258;P00257;7;1;MEDICO;
D00173;P00258;P00256;2;1;MEDICO;
D00174;P00259;P00260;1;1;REGRA;R2
D00175;P00262;P00261;1;1;REGRA;R1
D00176;P00263;P00262;7;1;MEDICO;
D00177;P00263;P00261;2;1;MEDICO;
D00178;P00266;P00265;1;1;REGRA;R1
D00179;P00267;P00266;7;1;MEDICO;
D00180;P00267;P00265;2;1;MEDICO;
D00181;P00269;P00268;1;1;REGRA;R1
D00182;P00270;P00269;7;1;MEDICO;
D00183;P00270;P00268;2;1;MEDICO;
D00184;P00272;P00271;1;1;REGRA;R1
D00185;P00273;P00272;7;1;MEDICO;
D00186;P00273;P00271;2;1;MEDICO;
D00187;P00274;P00275;1;1;REGRA;R2
D00188;P00277;P00276;1;1;REGRA;R1
D00189;P00278;P00277;7;1;MEDICO;
D00190;P00278;P00276;2;1;MEDICO;
D00191;P00280;P00279;2;1;MEDICO;
D00192;P00282;P00281;2;1;MEDICO;
D00193;P00284;P00283;2;1;MEDICO;
D00194;P00286;P00285;1;1;REGRA;R1
D00195;P00287;P00286;7;1;MEDICO;
D00196;P00287;P00285;2;1;MEDICO;
D00197;P00292;P00291;1;1;REGRA;R1
D00198;P00293;P00292;7;1;MEDICO;
D00199;P00293;P00291;2;1;MEDICO;
D00200;P00297;P00298;1;1;REGRA;R2
D00201;P00302;P00301;1;1;REGRA;R1
D00202;P00303;P00302;7;1;MEDICO;
D00203;P00303;P00301;2;1;MEDICO;
D00204;P00305;P00304;1;1;REGRA;R1
D00205;P00306;P00305;7;1;MEDICO;
D00206;P00306;P00304;2;1;MEDICO;
D00207;P00308;P00307;2;1;MEDICO;
D00208;P00311;P00310;1;1;REGRA;R1
D00209;P00312;P00311;7;1;MEDICO;
D00210;P00312;P00310;2;1;MEDICO;
D00211;P00314;P00313;3;1;MEDICO;
D00212;P00316;P00315;1;1;REGRA;R1
D00213;P00317;P00316;7;1;MEDICO;
D00214;P00317;P00315;2;1;MEDICO;
D00215;P00319;P00318;3;1;MEDICO;
D00216;P00321;P00320;1;1;REGRA;R1
D00217;P00322;P00321;7;1;MEDICO;
D00218;P00322;P00320;2;1;MEDICO;
D00219;P00324;P00323;2;1;MEDICO;
D00220;P00326;P00325;2;1;MEDICO;
D00221;P00328;P00327;2;1;MEDICO;
D00222;P00331;P00330;2;1;MEDICO;
D00223;P00335;P00334;2;1;MEDICO;
D00224;P00337;P00336;2;1;MEDICO;
D00225;P00339;P00338;1;1;REGRA;R1
D00226;P00340;P00339;7;1;MEDICO;
D00227;P00340;P00338;2;1;MEDICO;
D00228;P00342;P00343;1;1;REGRA;R2
D00229;P00345;P00344;1;1;REGRA;R1
D00230;P00346;P00345;7;1;MEDICO;
D00231;P00346;P00344;2;1;MEDICO;
D00232;P00348;P00347;2;1;MEDICO;
D00233;P00350;P00349;2;1;MEDICO;
D00234;P00353;P00352;1;1;REGRA;R1
D00235;P00354;P00353;7;1;MEDICO;
D00236;P00354;P00352;2;1;MEDICO;
D00237;P00356;P00355;1;1;REGRA;R1
D00238;P00357;P00356;7;1;MEDICO;
D00239;P00357;P00355;2;1;MEDICO;
D00240;P00359;P00358;1;1;REGRA;R1
D00241;P00360;P00359;7;1;MEDICO;
D00242;P00360;P00358;2;1;MEDICO;
D00243;P00362;P00361;2;1;MEDICO;
D00244;P00364;P00363;2;1;MEDICO;
D00245;P00366;P00365;1;1;REGRA;R1
D00246;P00367;P00366;7;1;MEDICO;
D00247;P00367;P00365;2;1;MEDICO;
D00248;P00369;P00368;1;1;REGRA;R1
D00249;P00370;P00369;7;1;MEDICO;
D00250;P00370;P00368;2;1;MEDICO;
D00251;P00372;P00371;1;1;REGRA;R1
D00252;P00373;P00372;7;1;MEDICO;
D00253;P00373;P00371;2;1;MEDICO;
D00254;P00375;P00374;1;1;REGRA;R1
D00255;P00376;P00375;7;1;MEDICO;
D00256;P00376;P00374;2;1;MEDICO;
D00257;P00378;P00377;1;1;REGRA;R1
D00258;P00379;P00378;7;1;MEDICO;
D00259;P00379;P00377;2;1;MEDICO;
D00260;P00381;P00380;1;1;REGRA;R1
D00261;P00382;P00381;7;1;MEDICO;
D00262;P00382;P00380;2;1;MEDICO;
D00263;P00384;P00383;1;1;REGRA;R1
D00264;P00385;P00384;7;1;MEDICO;
D00265;P00385;P00383;2;1;MEDICO;
D00266;P00387;P00386;1;1;REGRA;R1
D00267;P00388;P00387;7;1;MEDICO;
D00268;P00388;P00386;2;1;MEDICO;
D00269;P00389;P00390;1;1;REGRA;R2
D00270;P00392;P00391;3;1;MEDICO;
D00271;P00394;P00393;2;1;MEDICO;
D00272;P00396;P00395;1;1;REGRA;R1
D00273;P00397;P00396;7;1;MEDICO;
D00274;P00397;P00395;2;1;MEDICO;
D00275;P00399;P00398;1;1;REGRA;R1
D00276;P00400;P00399;7;1;MEDICO;
D00277;P00400;P00398;2;1;MEDICO;
D00278;P00402;P00401;2;1;MEDICO;
D00279;P00404;P00403;1;1;REGRA;R1
D00280;P00405;P00404;7;1;MEDICO;
D00281;P00405;P00403;2;1;MEDICO;
D00282;P00407;P00406;2;1;MEDICO;
D00283;P00409;P00408;1;1;REGRA;R1
D00284;P00410;P00409;7;1;MEDICO;
D00285;P00410;P00408;2;1;MEDICO;
D00286;P00412;P00411;1;1;REGRA;R1
D00287;P00413;P00412;7;1;MEDICO;
D00288;P00413;P00411;2;1;MEDICO;
D00289;P00415;P00414;2;1;MEDICO;
D00290;P00419;P00418;1;1;REGRA;R1
D00291;P00420;P00419;7;1;MEDICO;
D00292;P00420;P00418;2;1;MEDICO;
D00293;P00424;P00423;2;1;MEDICO;
D00294;P00426;P00425;3;1;MEDICO;
D00295;P00429;P00428;1;1;REGRA;R1
D00296;P00430;P00429;7;1;MEDICO;
D00297;P00430;P00428;2;1;MEDICO;
D00298;P00432;P00431;1;1;REGRA;R1
D00299;P00433;P00432;7;1;MEDICO;
D00300;P00433;P00431;2;1;MEDICO;
D00301;P00435;P00434;1;1;REGRA;R1
D00302;P00436;P00435;7;1;MEDICO;
D00303;P00436;P00434;2;1;MEDICO;
D00304;P00438;P00437;2;1;MEDICO;
D00305;P00444;P00443;3;1;MEDICO;
D00306;P00446;P00445;3;1;MEDICO;
D00307;P00448;P00447;1;1;REGRA;R1
D00308;P00449;P00448;7;1;MEDICO;
D00309;P00449;P00447;2;1;MEDICO;
D00310;P00451;P00450;2;1;MEDICO;
D00311;P00453;P00452;1;1;REGRA;R1
D00312;P00454;P00453;7;1;MEDICO;
D00313;P00454;P00452;2;1;MEDICO;
D00314;P00456;P00455;3;1;MEDICO;
D00315;P00458;P00457;3;1;MEDICO;
D00316;P00461;P00460;1;1;REGRA;R1
D00317;P00462;P00461;7;1;MEDICO;
D00318;P00462;P00460;2;1;MEDICO;
D00319;P00464;P00463;3;1;MEDICO;
D00320;P00466;P00465;2;1;MEDICO;
D00321;P00468;P00467;3;1;MEDICO;
D00322;P00471;P00470;2;1;MEDICO;
D00323;P00473;P00472;3;1;MEDICO;
D00324;P00475;P00474;1;1;REGRA;R1
D00325;P00476;P00475;7;1;MEDICO;
D00326;P00476;P00474;2;1;MEDICO;
D00327;P00480;P00479;1;1;REGRA;R1
D00328;P00481;P00480;7;1;MEDICO;
D00329;P00481;P00479;2;1;MEDICO;
D00330;P00484;P00483;1;1;REGRA;R1
D00331;P00485;P00484;7;1;MEDICO;
D00332;P00485;P00483;2;1;MEDICO;
D00333;P00487;P00486;1;1;REGRA;R1
D00334;P00488;P00487;7;1;MEDICO;
D00335;P00488;P00486;2;1;MEDICO;
D00336;P00490;P00489;2;1;MEDICO;
D00337;P00492;P00491;1;1;REGRA;R1
D00338;P00493;P00492;7;1;MEDICO;
D00339;P00493;P00491;2;1;MEDICO;
D00340;P00495;P00494;2;1;MEDICO;
D00341;P00497;P00496;2;1;MEDICO;
D00342;P00499;P00498;2;1;MEDICO;
D00343;P00501;P00500;3;1;MEDICO;
D00344;P00503;P00502;1;1;REGRA;R1
D00345;P00504;P00503;7;1;MEDICO;
D00346;P00504;P00502;2;1;MEDICO;
D00347;P00510;P00509;2;1;MEDICO;
D00348;P00511;P00512;1;1;REGRA;R2
D00349;P00514;P00515;1;1;REGRA;R2
D00350;P00517;P00516;1;1;REGRA;R1
D00351;P00518;P00517;7;1;MEDICO;
D00352;P00518;P00516;2;1;MEDICO;
D00353;P00521;P00520;1;1;REGRA;R1
D00354;P00522;P00521;7;1;MEDICO;
D00355;P00522;P00520;2;1;MEDICO;
D00356;P00524;P00523;2;1;MEDICO;
D00357;P00526;P00525;2;1;MEDICO;
D00358;P00530;P00529;1;1;REGRA;R1
D00359;P00531;P00530;7;1;MEDICO;
D00360;P00531;P00529;2;1;MEDICO;
D00361;P00533;P00532;2;1;MEDICO;
D00362;P00536;P00535;2;1;MEDICO;
D00363;P00540;P00539;1;1;REGRA;R1
D00364;P00541;P00540;7;1;MEDICO;
D00365;P00541;P00539;2;1;MEDICO;
D00366;P00543;P00542;1;1;REGRA;R1
D00367;P00544;P00543;7;1;MEDICO;
D00368;P00544;P00542;2;1;MEDICO;
D00369;P00546;P00545;1;1;REGRA;R1
D00370;P00547;P00546;7;1;MEDICO;
D00371;P00547;P00545;2;1;MEDICO;
D00372;P00549;P00548;1;1;REGRA;R1
D00373;P00550;P00549;7;1;MEDICO;
D00374;P00550;P00548;2;1;MEDICO;
D00375;P00552;P00551;1;1;REGRA;R1
D00376;P00553;P00552;7;1;MEDICO;
D00377;P00553;P00551;2;1;MEDICO;
D00378;P00556;P00557;1;1;REGRA;R2
D00379;P00559;P00558;3;1;MEDICO;
D00380;P00561;P00560;3;1;MEDICO;
D00381;P00563;P00562;1;1;REGRA;R1
D00382;P00564;P00563;7;1;MEDICO;
D00383;P00564;P00562;2;1;MEDICO;
D00384;P00566;P00565;3;1;MEDICO;
D00385;P00568;P00567;1;1;REGRA;R1
D00386;P00569;P00568;7;1;MEDICO;
D00387;P00569;P00567;2;1;MEDICO;
D00388;P00571;P00570;1;1;REGRA;R1
D00389;P00572;P00571;7;1;MEDICO;
D00390;P00572;P00570;2;1;MEDICO;
D00391;P00575;P00574;2;1;MEDICO;
D00392;P00577;P00576;1;1;REGRA;R1
D00393;P00578;P00577;7;1;MEDICO;
D00394;P00578;P00576;2;1;MEDICO;
D00395;P00581;P00580;2;1;MEDICO;
D00396;P00584;P00583;2;1;MEDICO;
D00397;P00586;P00585;2;1;MEDICO;
D00398;P00588;P00587;2;1;MEDICO;
D00399;P00590;P00589;3;1;MEDICO;
D00400;P00592;P00591;1;1;REGRA;R1
D00401;P00593;P00592;7;1;MEDICO;
D00402;P00593;P00591;2;1;MEDICO;
D00403;P00595;P00594;1;1;REGRA;R1
D00404;P00596;P00595;7;1;MEDICO;
D00405;P00596;P00594;2;1;MEDICO;
D00406;P00598;P00597;3;1;MEDICO;
D00407;P00600;P00599;1;1;REGRA;R1
D00408;P00601;P00600;7;1;MEDICO;
D00409;P00601;P00599;2;1;MEDICO;
D00410;P00603;P00602;3;1;MEDICO;
D00411;P00605;P00604;2;1;MEDICO;
D00412;P00607;P00606;1;1;REGRA;R1
D00413;P00608;P00607;7;1;MEDICO;
D00414;P00608;P00606;2;1;MEDICO;
D00415;P00610;P00609;1;1;REGRA;R1
D00416;P00611;P00610;7;1;MEDICO;
D00417;P00611;P00609;2;1;MEDICO;
D00418;P00613;P00612;3;1;MEDICO;
D00419;P00615;P00614;2;1;MEDICO;
D00420;P00617;P00616;2;1;MEDICO;
D00421;P00619;P00618;3;1;MEDICO;
D00422;P00621;P00620;1;1;REGRA;R1
D00423;P00622;P00621;7;1;MEDICO;
D00424;P00622;P00620;2;1;MEDICO;
D00425;P00624;P00623;2;1;MEDICO;
D00426;P00626;P00625;1;1;REGRA;R1
D00427;P00627;P00626;7;1;MEDICO;
D00428;P00627;P00625;2;1;MEDICO;
D00429;P00629;P00628;1;1;REGRA;R1
D00430;P00630;P00629;7;1;MEDICO;
D00431;P00630;P00628;2;1;MEDICO;
D00432;P00632;P00631;2;1;MEDICO;
D00433;P00633;P00634;1;1;REGRA;R2
D00434;P00636;P00635;3;1;MEDICO;
D00435;P00640;P00639;1;1;REGRA;R1
D00436;P00641;P00640;7;1;MEDICO;
D00437;P00641;P00639;2;1;MEDICO;
D00438;P00642;P00643;1;1;REGRA;R2
D00439;P00645;P00644;2;1;MEDICO;
D00440;P00647;P00646;1;1;REGRA;R1
D00441;P00648;P00647;7;1;MEDICO;
D00442;P00648;P00646;2;1;MEDICO;
D00443;P00653;P00654;1;1;REGRA;R2
D00444;P00656;P00655;2;1;MEDICO;
D00445;P00658;P00657;2;1;MEDICO;
D00446;P00660;P00659;2;1;MEDICO;
D00447;P00662;P00661;2;1;MEDICO;
D00448;P00664;P00663;1;1;REGRA;R1
D00449;P00665;P00664;7;1;MEDICO;
D00450;P00665;P00663;2;1;MEDICO;
D00451;P00668;P00667;1;1;REGRA;R1
D00452;P00669;P00668;7;1;MEDICO;
D00453;P00669;P00667;2;1;MEDICO;
D00454;P00674;P00673;2;1;MEDICO;
D00455;P00676;P00675;2;1;MEDICO;
D00456;P00678;P00677;1;1;REGRA;R1
D00457;P00679;P00678;7;1;MEDICO;
D00458;P00679;P00677;2;1;MEDICO;
D00459;P00682;P00681;1;1;REGRA;R1
D00460;P00683;P00682;7;1;MEDICO;
D00461;P00683;P00681;2;1;MEDICO;
D00462;P00685;P00684;1;1;REGRA;R1
D00463;P00686;P00685;7;1;MEDICO;
D00464;P00686;P00684;2;1;MEDICO;
D00465;P00688;P00687;2;1;MEDICO;
D00466;P00690;P00689;3;1;MEDICO;
D00467;P00692;P00691;1;1;REGRA;R1
D00468;P00693;P00692;7;1;MEDICO;
D00469;P00693;P00691;2;1;MEDICO;
D00470;P00696;P00695;1;1;REGRA;R1
D00471;P00697;P00696;7;1;MEDICO;
D00472;P00697;P00695;2;1;MEDICO;
D00473;P00699;P00698;1;1;REGRA;R1
D00474;P00700;P00699;7;1;MEDICO;
D00475;P00700;P00698;2;1;MEDICO;
D00476;P00703;P00702;2;1;MEDICO;
D00477;P00705;P00704;1;1;REGRA;R1
D00478;P00706;P00705;7;1;MEDICO;
D00479;P00706;P00704;2;1;MEDICO;
D00480;P00709;P00708;2;1;MEDICO;
D00481;P00712;P00711;1;1;REGRA;R1
D00482;P00713;P00712;7;1;MEDICO;
D00483;P00713;P00711;2;1;MEDICO;
D00484;P00715;P00714;2;1;MEDICO;
D00485;P00717;P00716;1;1;REGRA;R1
D00486;P00718;P00717;7;1;MEDICO;
D00487;P00718;P00716;2;1;MEDICO;
D00488;P00720;P00719;2;1;MEDICO;
D00489;P00723;P00722;1;1;REGRA;R1
D00490;P00724;P00723;7;1;MEDICO;
D00491;P00724;P00722;2;1;MEDICO;
D00492;P00726;P00725;2;1;MEDICO;
D00493;P00728;P00727;1;1;REGRA;R1
D00494;P00729;P00728;7;1;MEDICO;
D00495;P00729;P00727;2;1;MEDICO;
